            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459971.708333333, A.D. 2023-Jan-27 05:00:00.0000, -6.000188043687158E-01,  8.001649354007141E-01, -2.230925263623188E-03, -1.414310603860510E-02, -1.037645839119062E-02,  5.770809654301777E-05,  5.776359955080887E-03,  1.000145722616672E+00,  1.830959933908015E-04,
2459971.750000000, A.D. 2023-Jan-27 06:00:00.0000, -6.006079444646584E-01,  7.997323683366283E-01, -2.228518757006204E-03, -1.413561733103006E-02, -1.038675977751396E-02,  5.780420343250958E-05,  5.776404026515260E-03,  1.000153353348988E+00,  1.831791638242792E-04,
2459971.791666667, A.D. 2023-Jan-27 07:00:00.0000, -6.011967723765569E-01,  7.992993721617426E-01, -2.226108247584369E-03, -1.412812120555939E-02, -1.039705570881059E-02,  5.790023129863539E-05,  5.776448117968959E-03,  1.000160987547543E+00,  1.832623730017144E-04,
2459971.833333333, A.D. 2023-Jan-27 08:00:00.0000, -6.017852877954458E-01,  7.988659471034639E-01, -2.223693738651623E-03, -1.412061766709516E-02, -1.040734617903152E-02,  5.799617995555789E-05,  5.776492229451428E-03,  1.000168625213971E+00,  1.833456220596976E-04,
2459971.875000000, A.D. 2023-Jan-27 09:00:00.0000, -6.023734904125954E-01,  7.984320933894961E-01, -2.221275233515006E-03, -1.411310672289897E-02, -1.041763118077719E-02,  5.809204944675145E-05,  5.776536360972701E-03,  1.000176266350012E+00,  1.834289146345270E-04,
2459971.916666667, A.D. 2023-Jan-27 10:00:00.0000, -6.029613799194693E-01,  7.979978112478134E-01, -2.218852735470501E-03, -1.410558837441389E-02, -1.042791070856124E-02,  5.818783967433089E-05,  5.776580512543136E-03,  1.000183910957457E+00,  1.835122493324067E-04,
2459971.958333333, A.D. 2023-Jan-27 11:00:00.0000, -6.035489560076668E-01,  7.975631009065794E-01, -2.216426247819368E-03, -1.409806262643411E-02, -1.043818475820943E-02,  5.828355061691989E-05,  5.776624684172833E-03,  1.000191559038055E+00,  1.835956257288452E-04,
2459972.000000000, A.D. 2023-Jan-27 12:00:00.0000, -6.041362183689577E-01,  7.971279625941932E-01, -2.213995773859982E-03, -1.409052948346931E-02, -1.044845332325024E-02,  5.837918267512177E-05,  5.776668875871976E-03,  1.000199210593570E+00,  1.836790450611433E-04,
2459972.041666667, A.D. 2023-Jan-27 13:00:00.0000, -6.047231666952014E-01,  7.966923965391981E-01, -2.211561316891362E-03, -1.408298894460743E-02, -1.045871640284206E-02,  5.847473521579497E-05,  5.776713087650123E-03,  1.000206865625657E+00,  1.837625008053354E-04,
2459972.083333333, A.D. 2023-Jan-27 14:00:00.0000, -6.053098006783397E-01,  7.962564029702541E-01, -2.209122880228616E-03, -1.407544101534005E-02, -1.046897399108187E-02,  5.857020798777082E-05,  5.776757319516057E-03,  1.000214524135837E+00,  1.838459943375952E-04,
2459972.125000000, A.D. 2023-Jan-27 15:00:00.0000, -6.058961200105890E-01,  7.958199821163644E-01, -2.206680467198157E-03, -1.406788570256257E-02, -1.047922607927915E-02,  5.866560116344284E-05,  5.776801571479504E-03,  1.000222186125793E+00,  1.839295301039310E-04,
2459972.166666667, A.D. 2023-Jan-27 16:00:00.0000, -6.064821243844236E-01,  7.953831342066785E-01, -2.204234081117633E-03, -1.406032301419685E-02, -1.048947267298342E-02,  5.876091468999399E-05,  5.776845843550163E-03,  1.000229851597205E+00,  1.840131018522890E-04,
2459972.208333333, A.D. 2023-Jan-27 17:00:00.0000, -6.070678134926729E-01,  7.949458594701172E-01, -2.201783725298265E-03, -1.405275295319374E-02, -1.049971376330996E-02,  5.885614911874007E-05,  5.776890135736330E-03,  1.000237520551509E+00,  1.840967118195847E-04,
2459972.250000000, A.D. 2023-Jan-27 18:00:00.0000, -6.076531870276768E-01,  7.945081581370006E-01, -2.199329402865707E-03, -1.404517549306455E-02, -1.050994930087761E-02,  5.895132205697711E-05,  5.776934448049413E-03,  1.000245192990681E+00,  1.841803764569068E-04,
2459972.291666667, A.D. 2023-Jan-27 19:00:00.0000, -6.082382446812203E-01,  7.940700304385097E-01, -2.196871116122649E-03, -1.403759064457579E-02, -1.052017930336232E-02,  5.904641405038590E-05,  5.776978780501191E-03,  1.000252868916760E+00,  1.842640815505646E-04,
2459972.333333333, A.D. 2023-Jan-27 20:00:00.0000, -6.088229861458300E-01,  7.936314766050658E-01, -2.194408870100047E-03, -1.402999842972200E-02, -1.053040378127433E-02,  5.914137982723764E-05,  5.777023133100986E-03,  1.000260548331360E+00,  1.843478255375239E-04,
2459972.375000000, A.D. 2023-Jan-27 21:00:00.0000, -6.094074111147598E-01,  7.931924968668888E-01, -2.191942668846873E-03, -1.402239885257726E-02, -1.054062272957357E-02,  5.923626538178188E-05,  5.777067505858127E-03,  1.000268231236095E+00,  1.844316081494762E-04,
2459972.416666667, A.D. 2023-Jan-27 22:00:00.0000, -6.099915192813291E-01,  7.927530914544906E-01, -2.189472515706769E-03, -1.401479191743151E-02, -1.055083614313650E-02,  5.933107064608501E-05,  5.777111898781908E-03,  1.000275917632576E+00,  1.845154294155398E-04,
2459972.458333333, A.D. 2023-Jan-27 23:00:00.0000, -6.105753103390194E-01,  7.923132605986011E-01, -2.186998414026820E-03, -1.400717762704115E-02, -1.056104401627621E-02,  5.942579555058576E-05,  5.777156311881586E-03,  1.000283607522406E+00,  1.845992888756930E-04,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -6.111587839814772E-01,  7.918730045301676E-01, -2.184520367157591E-03, -1.399955598704047E-02, -1.057124634437438E-02,  5.952044005968224E-05,  5.777200745166403E-03,  1.000291300907184E+00,  1.846831869784845E-04,
2459972.541666667, A.D. 2023-Jan-28 01:00:00.0000, -6.117419399025796E-01,  7.914323234803440E-01, -2.182038378451395E-03, -1.399192700045122E-02, -1.058144312084108E-02,  5.961500377647268E-05,  5.777245198645751E-03,  1.000298997788537E+00,  1.847671241412641E-04,
2459972.583333333, A.D. 2023-Jan-28 02:00:00.0000, -6.123247777962798E-01,  7.909912176806293E-01, -2.179552451273789E-03, -1.398429067477374E-02, -1.059163433900011E-02,  5.970948710845982E-05,  5.777289672329276E-03,  1.000306698168135E+00,  1.848511035819140E-04,
2459972.625000000, A.D. 2023-Jan-28 03:00:00.0000, -6.129072973568864E-01,  7.905496873627076E-01, -2.177062588969665E-03, -1.397664701249387E-02, -1.060181999386257E-02,  5.980389005335273E-05,  5.777334166227118E-03,  1.000314402047733E+00,  1.849351241216285E-04,
2459972.666666667, A.D. 2023-Jan-28 04:00:00.0000, -6.134894982787973E-01,  7.901077327584831E-01, -2.174568794894569E-03, -1.396899601791888E-02, -1.061200008049868E-02,  5.989821240696122E-05,  5.777378680349146E-03,  1.000322109429040E+00,  1.850191856480982E-04,
2459972.708333333, A.D. 2023-Jan-28 05:00:00.0000, -6.140713802565836E-01,  7.896653541000915E-01, -2.172071072401262E-03, -1.396133769588315E-02, -1.062217459216253E-02,  5.999245454038692E-05,  5.777423214705291E-03,  1.000329820313776E+00,  1.851032898060204E-04,
2459972.750000000, A.D. 2023-Jan-28 06:00:00.0000, -6.146529429850094E-01,  7.892225516199245E-01, -2.169569424832941E-03, -1.395367204774646E-02, -1.063234352630158E-02,  6.008661603544305E-05,  5.777467769305741E-03,  1.000337534703705E+00,  1.851874327974534E-04,
2459972.791666667, A.D. 2023-Jan-28 07:00:00.0000, -6.152341861588001E-01,  7.887793255503885E-01, -2.167063855566967E-03, -1.394599907396845E-02, -1.064250688099927E-02,  6.018069620911493E-05,  5.777512344159012E-03,  1.000345252600301E+00,  1.852716097677925E-04,
2459972.833333333, A.D. 2023-Jan-28 08:00:00.0000, -6.158151094728078E-01,  7.883356761240674E-01, -2.164554367990414E-03, -1.393831877854282E-02, -1.065266465102700E-02,  6.027469516063683E-05,  5.777556939273279E-03,  1.000352974004980E+00,  1.853558206438736E-04,
2459972.875000000, A.D. 2023-Jan-28 09:00:00.0000, -6.163957126220787E-01,  7.878916035737861E-01, -2.162040965491703E-03, -1.393063116854394E-02, -1.066281682908691E-02,  6.036861285811100E-05,  5.777601554656902E-03,  1.000360698919189E+00,  1.854400688806945E-04,
2459972.916666667, A.D. 2023-Jan-28 10:00:00.0000, -6.169759953019947E-01,  7.874471081327380E-01, -2.159523651450286E-03, -1.392293624984539E-02, -1.067296340745753E-02,  6.046244944384909E-05,  5.777646190319513E-03,  1.000368427344596E+00,  1.855243575296144E-04,
2459972.958333333, A.D. 2023-Jan-28 11:00:00.0000, -6.175559572080634E-01,  7.870021900342983E-01, -2.157002429248607E-03, -1.391523402399932E-02, -1.068310438373320E-02,  6.055620474945153E-05,  5.777690846270413E-03,  1.000376159282812E+00,  1.856086827923197E-04,
2459973.000000000, A.D. 2023-Jan-28 12:00:00.0000, -6.181355980357971E-01,  7.865568495119138E-01, -2.154477302284546E-03, -1.390752449124839E-02, -1.069323975491820E-02,  6.064987831267597E-05,  5.777735522517652E-03,  1.000383894735229E+00,  1.856930405244706E-04,
2459973.041666667, A.D. 2023-Jan-28 13:00:00.0000, -6.187149174810324E-01,  7.861110867993854E-01, -2.151948273948366E-03, -1.389980766436219E-02, -1.070336950969401E-02,  6.074347079147413E-05,  5.777780219070443E-03,  1.000391633703444E+00,  1.857774408628028E-04,
2459973.083333333, A.D. 2023-Jan-28 14:00:00.0000, -6.192939152398473E-01,  7.856649021307995E-01, -2.149415347626194E-03, -1.389208354403961E-02, -1.071349364471914E-02,  6.083698186215625E-05,  5.777824935938554E-03,  1.000399376189147E+00,  1.858618802181905E-04,
2459973.125000000, A.D. 2023-Jan-28 15:00:00.0000, -6.198725910084496E-01,  7.852182957404249E-01, -2.146878526709787E-03, -1.388435213467506E-02, -1.072361215486176E-02,  6.093041155073382E-05,  5.777869673131443E-03,  1.000407122193977E+00,  1.859463586911769E-04,
2459973.166666667, A.D. 2023-Jan-28 16:00:00.0000, -6.204509444832090E-01,  7.847712678627392E-01, -2.144337814594137E-03, -1.387661344062976E-02, -1.073372503469651E-02,  6.102375969033285E-05,  5.777914430658499E-03,  1.000414871719558E+00,  1.860308765931712E-04,
2459973.208333333, A.D. 2023-Jan-28 17:00:00.0000, -6.210289753606918E-01,  7.843238187324635E-01, -2.141793214675532E-03, -1.386886746608057E-02, -1.074383227801190E-02,  6.111702616120504E-05,  5.777959208529314E-03,  1.000422624767553E+00,  1.861154347375812E-04,
2459973.250000000, A.D. 2023-Jan-28 18:00:00.0000, -6.216066833376733E-01,  7.838759485845485E-01, -2.139244730363508E-03, -1.386111421792691E-02, -1.075393388231839E-02,  6.121020902202814E-05,  5.778004006753671E-03,  1.000430381339654E+00,  1.862000327157480E-04,
2459973.291666667, A.D. 2023-Jan-28 19:00:00.0000, -6.221840681111778E-01,  7.834276576538899E-01, -2.136692365313733E-03, -1.385335369853361E-02, -1.076402984744264E-02,  6.130330353440732E-05,  5.778048825340403E-03,  1.000438141437390E+00,  1.862846655063826E-04,
2459973.333333333, A.D. 2023-Jan-28 20:00:00.0000, -6.227611293782507E-01,  7.829789461756886E-01, -2.134136123034602E-03, -1.384558590987324E-02, -1.077412016343271E-02,  6.139631619513548E-05,  5.778093664298196E-03,  1.000445905062267E+00,  1.863693354751239E-04,
2459973.375000000, A.D. 2023-Jan-28 21:00:00.0000, -6.233378668360455E-01,  7.825298143854441E-01, -2.131576006943472E-03, -1.383781085412977E-02, -1.078420482466209E-02,  6.148924670857906E-05,  5.778138523635877E-03,  1.000453672215811E+00,  1.864540417352575E-04,
2459973.416666667, A.D. 2023-Jan-28 22:00:00.0000, -6.239142801819016E-01,  7.820802625187100E-01, -2.129012020671556E-03, -1.383002853817571E-02, -1.079428384052799E-02,  6.158207753286159E-05,  5.778183403361591E-03,  1.000461442899435E+00,  1.865387746131173E-04,
2459973.458333333, A.D. 2023-Jan-28 23:00:00.0000, -6.244903691134744E-01,  7.816302908105652E-01, -2.126444168591352E-03, -1.382223896855883E-02, -1.080435720503881E-02,  6.167481353332829E-05,  5.778228303480887E-03,  1.000469217114097E+00,  1.866235362495507E-04,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -6.250661333290480E-01,  7.811798994971323E-01, -2.123872452962518E-03, -1.381444216832183E-02, -1.081442488919423E-02,  6.176753573700556E-05,  5.778273224004673E-03,  1.000476994861688E+00,  1.867083568961329E-04,
2459973.541666667, A.D. 2023-Jan-29 01:00:00.0000, -6.256415870740996E-01,  7.807290875898478E-01, -2.121282247813349E-03, -1.380663933885822E-02, -1.082448711825431E-02,  6.186156846972485E-05,  5.778318211782985E-03,  1.000484784254038E+00,  1.867940160154705E-04,
2459973.583333333, A.D. 2023-Jan-29 02:00:00.0000, -6.262167010029688E-01,  7.802778577668130E-01, -2.118702753786192E-03, -1.379882804002063E-02, -1.083454343929706E-02,  6.195413615363222E-05,  5.778363173341786E-03,  1.000492569106621E+00,  1.868789150536803E-04,
2459973.625000000, A.D. 2023-Jan-29 03:00:00.0000, -6.267914893101852E-01,  7.798262090488242E-01, -2.116119404491227E-03, -1.379100950006360E-02, -1.084459407502157E-02,  6.204662141288299E-05,  5.778408155335642E-03,  1.000500357497425E+00,  1.869638506144064E-04,
2459973.666666667, A.D. 2023-Jan-29 04:00:00.0000, -6.273659516941164E-01,  7.793741416728924E-01, -2.113532203364534E-03, -1.378318372301753E-02, -1.085463901947493E-02,  6.213902418999271E-05,  5.778453157773389E-03,  1.000508149427978E+00,  1.870488232121556E-04,
2459973.708333333, A.D. 2023-Jan-29 05:00:00.0000, -6.279400878530785E-01,  7.789216558764850E-01, -2.110941154002565E-03, -1.377535069689604E-02, -1.086467825276826E-02,  6.223133296602446E-05,  5.778498180664129E-03,  1.000515944899857E+00,  1.871338341752184E-04,
2459973.750000000, A.D. 2023-Jan-29 06:00:00.0000, -6.285138974848268E-01,  7.784687518977342E-01, -2.108346260453493E-03, -1.376751041964670E-02, -1.087471177471238E-02,  6.232354796926093E-05,  5.778543224016310E-03,  1.000523743914525E+00,  1.872188756410703E-04,
2459973.791666667, A.D. 2023-Jan-29 07:00:00.0000, -6.290873802876839E-01,  7.780154299744625E-01, -2.105747526388274E-03, -1.375966291383445E-02, -1.088473958972724E-02,  6.241567890735670E-05,  5.778588287837436E-03,  1.000531546473280E+00,  1.873039516276318E-04,
2459973.833333333, A.D. 2023-Jan-29 08:00:00.0000, -6.296605359603530E-01,  7.775616903443553E-01, -2.103144955566618E-03, -1.375180815546715E-02, -1.089476172062382E-02,  6.250769079266002E-05,  5.778633372134158E-03,  1.000539352577276E+00,  1.873890227212266E-04,
2459973.875000000, A.D. 2023-Jan-29 09:00:00.0000, -6.302333641998812E-01,  7.771075332428315E-01, -2.100538554348950E-03, -1.374394613947329E-02, -1.090477819810992E-02,  6.259955950074898E-05,  5.778678476895375E-03,  1.000547162224588E+00,  1.874740552594658E-04,
2459973.916666667, A.D. 2023-Jan-29 10:00:00.0000, -6.308058647051382E-01,  7.766529589072573E-01, -2.097928327000588E-03, -1.373607691114256E-02, -1.091478895417882E-02,  6.269134511245606E-05,  5.778723602123718E-03,  1.000554975415674E+00,  1.875591238268580E-04,
2459973.958333333, A.D. 2023-Jan-29 11:00:00.0000, -6.313780371766153E-01,  7.761979675771009E-01, -2.095314275823577E-03, -1.372820054532619E-02, -1.092479392692921E-02,  6.278312887102538E-05,  5.778768747835526E-03,  1.000562792153362E+00,  1.876443168585305E-04,
2459974.000000000, A.D. 2023-Jan-29 12:00:00.0000, -6.319498813175530E-01,  7.757425594928946E-01, -2.092696400703416E-03, -1.372031701950968E-02, -1.093479315799538E-02,  6.287486873012116E-05,  5.778813914060307E-03,  1.000570612442761E+00,  1.877295813631315E-04,
2459974.041666667, A.D. 2023-Jan-29 13:00:00.0000, -6.325213968282505E-01,  7.752867348935558E-01, -2.090074704826121E-03, -1.371242629410109E-02, -1.094478665255964E-02,  6.296652526295396E-05,  5.778859100808067E-03,  1.000578436285604E+00,  1.878148817954014E-04,
2459974.083333333, A.D. 2023-Jan-29 14:00:00.0000, -6.330925834087761E-01,  7.748304940181994E-01, -2.087449191664778E-03, -1.370452837209774E-02, -1.095477440590792E-02,  6.305809844951604E-05,  5.778904308087257E-03,  1.000586263683353E+00,  1.879002170526782E-04,
2459974.125000000, A.D. 2023-Jan-29 15:00:00.0000, -6.336634407593622E-01,  7.743738371061484E-01, -2.084819864690530E-03, -1.369662325759964E-02, -1.096475641316827E-02,  6.314958825794660E-05,  5.778949535906263E-03,  1.000594094637462E+00,  1.879855868508156E-04,
2459974.166666667, A.D. 2023-Jan-29 16:00:00.0000, -6.342339685804189E-01,  7.739167643969416E-01, -2.082186727383036E-03, -1.368871095588704E-02, -1.097473266881874E-02,  6.324099431076627E-05,  5.778994784273483E-03,  1.000601929149383E+00,  1.880709921575714E-04,
2459974.208333333, A.D. 2023-Jan-29 17:00:00.0000, -6.348041665724159E-01,  7.734592761303914E-01, -2.079549783849189E-03, -1.368079145456510E-02, -1.098470315804476E-02,  6.333228238526480E-05,  5.779040053197159E-03,  1.000609767220545E+00,  1.881564299802144E-04,
2459974.250000000, A.D. 2023-Jan-29 18:00:00.0000, -6.353740344351128E-01,  7.730013725472062E-01, -2.076909038596755E-03, -1.367286475841335E-02, -1.099466787268494E-02,  6.342348161100473E-05,  5.779085342685332E-03,  1.000617608852338E+00,  1.882419028848175E-04,
2459974.291666667, A.D. 2023-Jan-29 19:00:00.0000, -6.359435718693154E-01,  7.725430538877076E-01, -2.074264495117893E-03, -1.366493088742904E-02, -1.100462682031528E-02,  6.351459718535975E-05,  5.779130652746526E-03,  1.000625454046240E+00,  1.883274110229162E-04,
2459974.333333333, A.D. 2023-Jan-29 20:00:00.0000, -6.365127785761340E-01,  7.720843203922959E-01, -2.071616156903669E-03, -1.365698984520155E-02, -1.101457999584323E-02,  6.360562892086695E-05,  5.779175983389127E-03,  1.000633302803702E+00,  1.884129539575543E-04,
2459974.375000000, A.D. 2023-Jan-29 21:00:00.0000, -6.370816542570180E-01,  7.716251723014752E-01, -2.068964027437429E-03, -1.364904165256605E-02, -1.102452740491095E-02,  6.369658218222182E-05,  5.779221334621632E-03,  1.000641155126196E+00,  1.884985339444484E-04,
2459974.416666667, A.D. 2023-Jan-29 22:00:00.0000, -6.376501986145234E-01,  7.711656098554309E-01, -2.066308109178943E-03, -1.364108631372910E-02, -1.103446903955545E-02,  6.378748585660436E-05,  5.779266706453580E-03,  1.000649011015372E+00,  1.885841531555576E-04,
2459974.458333333, A.D. 2023-Jan-29 23:00:00.0000, -6.382184113504136E-01,  7.707056332951706E-01, -2.063648405010325E-03, -1.363312381609322E-02, -1.104440488661381E-02,  6.387830575592588E-05,  5.779312098893674E-03,  1.000656870472739E+00,  1.886698071553223E-04,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -6.387862921650934E-01,  7.702452428623087E-01, -2.060984919149529E-03, -1.362515408799279E-02, -1.105433492413861E-02,  6.396900092737504E-05,  5.779357511946731E-03,  1.000664733499128E+00,  1.887554604985907E-04,
2459974.541666667, A.D. 2023-Jan-30 01:00:00.0000, -6.393538407584367E-01,  7.697844387986077E-01, -2.058317656369875E-03, -1.361717719810766E-02, -1.106425916477556E-02,  6.405960451796015E-05,  5.779402945614639E-03,  1.000672600094869E+00,  1.888411404352165E-04,
2459974.583333333, A.D. 2023-Jan-30 02:00:00.0000, -6.399210568325583E-01,  7.693232213446883E-01, -2.055646618300155E-03, -1.360919319284120E-02, -1.107417769381274E-02,  6.415022257672916E-05,  5.779448399900829E-03,  1.000680470260555E+00,  1.889268041941079E-04,
2459974.625000000, A.D. 2023-Jan-30 03:00:00.0000, -6.404879400925744E-01,  7.688615907371575E-01, -2.052971806261919E-03, -1.360120209793467E-02, -1.108409049814159E-02,  6.424074663207647E-05,  5.779493874800424E-03,  1.000688343995341E+00,  1.890124721713131E-04,
2459974.666666667, A.D. 2023-Jan-30 04:00:00.0000, -6.410544902415960E-01,  7.683995472171959E-01, -2.050293224146258E-03, -1.359320386611086E-02, -1.109399748964196E-02,  6.433118621856144E-05,  5.779539370319932E-03,  1.000696221300355E+00,  1.890981752974940E-04,
2459974.708333333, A.D. 2023-Jan-30 05:00:00.0000, -6.416207069823382E-01,  7.679370910271383E-01, -2.047610875479899E-03, -1.358519850149768E-02, -1.110389866132871E-02,  6.442154092324390E-05,  5.779584886467927E-03,  1.000704102177080E+00,  1.891839149312577E-04,
2459974.750000000, A.D. 2023-Jan-30 06:00:00.0000, -6.421865900176709E-01,  7.674742224096329E-01, -2.044924763682087E-03, -1.357718600500251E-02, -1.111379400516014E-02,  6.451182022760251E-05,  5.779630423253337E-03,  1.000711986627063E+00,  1.892696911493488E-04,
2459974.791666667, A.D. 2023-Jan-30 07:00:00.0000, -6.427521390504501E-01,  7.670109416076186E-01, -2.042234891803273E-03, -1.356916638206376E-02, -1.112368351973592E-02,  6.460201881125179E-05,  5.779675980684728E-03,  1.000719874651787E+00,  1.893555018622800E-04,
2459974.833333333, A.D. 2023-Jan-30 08:00:00.0000, -6.433173537840401E-01,  7.665472488638321E-01, -2.039541263727125E-03, -1.356113964399308E-02, -1.113356720849462E-02,  6.469211967871588E-05,  5.779721558770052E-03,  1.000727766252629E+00,  1.894413450920144E-04,
2459974.875000000, A.D. 2023-Jan-30 09:00:00.0000, -6.438822339219284E-01,  7.660831444212791E-01, -2.036843883216291E-03, -1.355310578908596E-02, -1.114344505974281E-02,  6.478213557163579E-05,  5.779767157517325E-03,  1.000735661430975E+00,  1.895272220393959E-04,
2459974.916666667, A.D. 2023-Jan-30 10:00:00.0000, -6.444467791676909E-01,  7.656186285232843E-01, -2.034142753809398E-03, -1.354506482239713E-02, -1.115331706877696E-02,  6.487206652086743E-05,  5.779812776934685E-03,  1.000743560188237E+00,  1.896131329082270E-04,
2459974.958333333, A.D. 2023-Jan-30 11:00:00.0000, -6.450109892250784E-01,  7.651537014133800E-01, -2.031437879044029E-03, -1.353701674714322E-02, -1.116318322929570E-02,  6.496191456527917E-05,  5.779858417030252E-03,  1.000751462525819E+00,  1.896990779377308E-04,
2459975.000000000, A.D. 2023-Jan-30 12:00:00.0000, -6.455748637964810E-01,  7.646883633377999E-01, -2.028729262210987E-03, -1.352896148904655E-02, -1.117304339880806E-02,  6.505165077460702E-05,  5.779904077817388E-03,  1.000759368446035E+00,  1.897851114496766E-04,
2459975.041666667, A.D. 2023-Jan-30 13:00:00.0000, -6.461384025840839E-01,  7.642226145450178E-01, -2.026016910229498E-03, -1.352089913260502E-02, -1.118289767698482E-02,  6.514123424822671E-05,  5.779949759316963E-03,  1.000767277952499E+00,  1.898712049156964E-04,
2459975.083333333, A.D. 2023-Jan-30 14:00:00.0000, -6.467016052923784E-01,  7.637564552793609E-01, -2.023300827513548E-03, -1.351282968262524E-02, -1.119274609600200E-02,  6.523072648311784E-05,  5.779995461538480E-03,  1.000775191046857E+00,  1.899573300674252E-04,
2459975.125000000, A.D. 2023-Jan-30 15:00:00.0000, -6.472644716261882E-01,  7.632898857851041E-01, -2.020581017459673E-03, -1.350475318235897E-02, -1.120258865554295E-02,  6.532015803088927E-05,  5.780041184490843E-03,  1.000783107730648E+00,  1.900435084228034E-04,
2459975.166666667, A.D. 2023-Jan-30 16:00:00.0000, -6.478270012925963E-01,  7.628229063060549E-01, -2.017857482430229E-03, -1.349666959364976E-02, -1.121242536420539E-02,  6.540948894127336E-05,  5.780086928187732E-03,  1.000791028006243E+00,  1.901297022822039E-04,
2459975.208333333, A.D. 2023-Jan-30 17:00:00.0000, -6.483891939931252E-01,  7.623555170857833E-01, -2.015130228956320E-03, -1.348857885166495E-02, -1.122225622785051E-02,  6.549866747238215E-05,  5.780132692619472E-03,  1.000798951871966E+00,  1.902158586305126E-04,
2459975.250000000, A.D. 2023-Jan-30 18:00:00.0000, -6.489510494330500E-01,  7.618877183694188E-01, -2.012399260516211E-03, -1.348048111334529E-02, -1.123208116895336E-02,  6.558782955512354E-05,  5.780178477795626E-03,  1.000806879329474E+00,  1.903021312580852E-04,
2459975.291666667, A.D. 2023-Jan-30 19:00:00.0000, -6.495125673213805E-01,  7.614195104034136E-01, -2.009664577583142E-03, -1.347237634800247E-02, -1.124190021679576E-02,  6.567694061182248E-05,  5.780224283743944E-03,  1.000814810383569E+00,  1.903884715096607E-04,
2459975.333333333, A.D. 2023-Jan-30 20:00:00.0000, -6.500737473634346E-01,  7.609508934331036E-01, -2.006926183050578E-03, -1.346426448920308E-02, -1.125171339950531E-02,  6.576600475676916E-05,  5.780270110471878E-03,  1.000822745035544E+00,  1.904748082620805E-04,
2459975.375000000, A.D. 2023-Jan-30 21:00:00.0000, -6.506345892643205E-01,  7.604818677004699E-01, -2.004184078354668E-03, -1.345614557598486E-02, -1.126152078271133E-02,  6.585500973742382E-05,  5.780315957969761E-03,  1.000830683283724E+00,  1.905611104368832E-04,
2459975.416666667, A.D. 2023-Jan-30 22:00:00.0000, -6.511950927300509E-01,  7.600124334498215E-01, -2.001438266911972E-03, -1.344801960248475E-02, -1.127132226339719E-02,  6.594392848402743E-05,  5.780361826239992E-03,  1.000838625128524E+00,  1.906474460330807E-04,
2459975.458333333, A.D. 2023-Jan-30 23:00:00.0000, -6.517552574665388E-01,  7.595425909272049E-01, -1.998688752319636E-03, -1.343988657332390E-02, -1.128111783650450E-02,  6.603276085614939E-05,  5.780407715290629E-03,  1.000846570571341E+00,  1.907338152527046E-04,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -6.523150831798787E-01,  7.590723403788736E-01, -1.995935538179640E-03, -1.343174649209307E-02, -1.129090749690238E-02,  6.612150666868799E-05,  5.780453625129726E-03,  1.000854519613568E+00,  1.908202176819971E-04,
2459975.541666667, A.D. 2023-Jan-31 01:00:00.0000, -6.528745695764028E-01,  7.586016820512697E-01, -1.993178628097099E-03, -1.342359936396179E-02, -1.130069124007590E-02,  6.621016578717074E-05,  5.780499555765456E-03,  1.000862472256620E+00,  1.909066534693688E-04,
2459975.583333333, A.D. 2023-Jan-31 02:00:00.0000, -6.534337163624463E-01,  7.581306161910759E-01, -1.990418025692420E-03, -1.341544519245525E-02, -1.131046906098387E-02,  6.629873823712641E-05,  5.780545507205458E-03,  1.000870428501819E+00,  1.909931220881647E-04,
2459975.625000000, A.D. 2023-Jan-31 03:00:00.0000, -6.539925232447065E-01,  7.576591430451509E-01, -1.987653734574405E-03, -1.340728398310969E-02, -1.132024095429668E-02,  6.638722389669997E-05,  5.780591479457903E-03,  1.000878388350582E+00,  1.910796245454563E-04,
2459975.666666667, A.D. 2023-Jan-31 04:00:00.0000, -6.545509899300156E-01,  7.571872628605980E-01, -1.984885758368042E-03, -1.339911574035793E-02, -1.133000691378102E-02,  6.647562193071354E-05,  5.780637472530948E-03,  1.000886351804320E+00,  1.911661618129373E-04,
2459975.708333333, A.D. 2023-Jan-31 05:00:00.0000, -6.551091161256104E-01,  7.567149758849510E-01, -1.982114100902216E-03, -1.339094047737660E-02, -1.133976692644685E-02,  6.656392469819960E-05,  5.780683486434559E-03,  1.000894318864759E+00,  1.912527457054789E-04,
2459975.750000000, A.D. 2023-Jan-31 06:00:00.0000, -6.556669015385355E-01,  7.562422823666123E-01, -1.979338765864670E-03, -1.338275815928610E-02, -1.134952093036502E-02,  6.665213625421711E-05,  5.780729521180164E-03,  1.000902289533877E+00,  1.913393935024993E-04,
2459975.791666667, A.D. 2023-Jan-31 07:00:00.0000, -6.562243458748381E-01,  7.557691825574816E-01, -1.976559758746300E-03, -1.337456881037920E-02, -1.135926891490599E-02,  6.674019412733739E-05,  5.780775576789078E-03,  1.000910263815365E+00,  1.914261224254228E-04,
